City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saldanha,ZA,-33.0117,17.9442,68.0,73,0,3.44,clear sky
1,Hithadhoo,MV,-0.6,73.0833,83.03,69,89,6.73,overcast clouds
2,Bredasdorp,ZA,-34.5322,20.0403,64.4,68,0,8.05,clear sky
3,Bengkulu,ID,-3.8004,102.2655,76.62,90,94,3.91,moderate rain
4,Agirish,RU,61.9247,63.0231,27.01,93,11,8.14,few clouds
5,Ushuaia,AR,-54.8,-68.3,51.8,54,40,9.22,scattered clouds
6,Dingle,PH,10.9995,122.6711,76.06,89,72,6.69,broken clouds
7,Kruisfontein,ZA,-34.0033,24.7314,68.0,69,51,1.99,broken clouds
8,Victoria,HK,22.2855,114.1577,73.0,87,98,1.99,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,64.0,77,0,1.99,clear sky
10,Carbonia,IT,39.1672,8.5222,57.2,94,0,6.91,clear sky
11,Marsa Matruh,EG,31.3525,27.2453,55.4,47,40,12.66,scattered clouds
12,Thinadhoo,MV,0.5333,72.9333,80.33,75,72,1.95,broken clouds
13,Ilulissat,GL,69.2167,-51.1,-7.6,45,1,1.57,clear sky
14,Nanortalik,GL,60.1432,-45.2371,12.58,62,86,14.65,overcast clouds
15,Santomera,ES,38.0615,-1.0488,64.99,70,100,1.99,overcast clouds
16,Menongue,AO,-14.6585,17.691,63.91,93,100,1.03,light rain
17,Bambous Virieux,MU,-20.3428,57.7575,78.8,89,75,2.3,light rain
18,Sakakah,SA,29.9697,40.2064,64.4,25,0,11.5,clear sky
19,Kologriv,RU,58.8275,44.3178,30.61,97,100,4.97,overcast clouds
20,Pizarro,CO,4.9533,-77.366,76.75,83,100,11.5,overcast clouds
21,Bathsheba,BB,13.2167,-59.5167,82.4,54,40,23.02,scattered clouds
22,Taoudenni,ML,22.6783,-3.9836,79.7,6,3,11.16,clear sky
23,Bandarbeyla,SO,9.4942,50.8122,79.03,72,69,15.59,broken clouds
24,Panaba,MX,21.2833,-88.2667,96.15,25,8,19.84,clear sky
25,Cidreira,BR,-30.1811,-50.2056,76.5,80,98,8.63,moderate rain
26,Ribeira Grande,PT,38.5167,-28.7,62.6,55,20,9.22,few clouds
27,Clyde River,CA,70.4692,-68.5914,-9.4,64,75,4.68,broken clouds
28,Farafangana,MG,-22.8167,47.8333,74.91,87,7,5.48,moderate rain
29,Pangnirtung,CA,66.1451,-65.7125,-20.2,63,1,5.75,clear sky
30,Benghazi,LY,32.1167,20.0667,57.65,55,5,9.35,clear sky
31,Ancud,CL,-41.8697,-73.8203,62.6,63,20,8.05,few clouds
32,Peniche,PT,39.3558,-9.3811,55.99,79,73,11.01,broken clouds
33,Issenye,TZ,-2.0,34.3333,68.31,60,100,3.2,overcast clouds
34,Touros,BR,-5.1989,-35.4608,80.6,74,75,9.22,broken clouds
35,Iberia,US,29.9502,-91.7507,77.0,88,90,8.05,mist
36,Port Alfred,ZA,-33.5906,26.891,70.27,86,100,13.69,overcast clouds
37,Olafsvik,IS,64.8945,-23.7142,19.98,69,99,20.62,overcast clouds
38,Krasnoye,UA,49.9145,24.6134,41.0,75,100,6.71,overcast clouds
39,Usinsk,RU,65.9939,57.5281,12.18,96,78,8.9,broken clouds
40,Eshowe,ZA,-28.8865,31.4699,59.95,95,37,5.41,scattered clouds
41,Mastung,PK,29.7994,66.845,65.97,25,0,6.33,clear sky
42,Sinnamary,GF,5.3833,-52.95,81.75,71,33,11.92,scattered clouds
43,Bubaque,GW,11.2833,-15.8333,78.12,73,7,15.48,clear sky
44,Iskateley,RU,67.6803,53.1512,16.66,88,6,10.4,clear sky
45,Hobyo,SO,5.3505,48.5268,80.06,71,2,12.77,clear sky
46,Bloemfontein,ZA,-29.1211,26.214,59.0,72,0,3.44,clear sky
47,Aviles,ES,43.5547,-5.9248,52.0,87,75,6.91,broken clouds
48,Leshukonskoye,RU,64.8989,45.7622,24.58,97,100,3.74,overcast clouds
49,Grindavik,IS,63.8424,-22.4338,24.8,58,40,9.22,scattered clouds
50,San Carlos De Bariloche,AR,-41.1456,-71.3082,75.0,21,0,11.5,clear sky
51,Opuwo,NA,-18.0607,13.84,71.19,64,89,7.92,overcast clouds
52,San Juan,AR,-31.5375,-68.5364,64.96,41,14,13.2,few clouds
53,Torbay,CA,47.6666,-52.7314,50.0,76,90,25.32,overcast clouds
54,Vila Velha,BR,-20.3297,-40.2925,88.0,62,0,11.5,clear sky
55,Havoysund,NO,70.9963,24.6622,37.4,64,0,11.5,clear sky
56,Khash,IR,28.2211,61.2158,71.15,27,0,4.7,clear sky
57,Dakar,SN,14.6937,-17.4441,71.6,73,0,18.41,clear sky
58,Kapuskasing,CA,49.4169,-82.4331,23.0,63,100,9.22,overcast clouds
59,Kasongo-Lunda,CD,-6.4667,16.8167,70.81,98,100,1.54,moderate rain
60,Kavaratti,IN,10.5669,72.642,83.44,73,17,4.41,few clouds
61,Monze,ZM,-16.2833,27.4833,65.97,86,7,4.5,clear sky
62,Necochea,AR,-38.5473,-58.7368,63.0,87,100,8.01,light rain
63,Sorland,NO,67.667,12.6934,44.6,76,75,14.97,broken clouds
64,Luebo,CD,-5.35,21.4167,69.37,97,71,2.08,broken clouds
65,Mar Del Plata,AR,-38.0023,-57.5575,64.99,88,90,18.41,moderate rain
66,Conde,BR,-7.2597,-34.9075,84.2,70,75,14.97,broken clouds
67,Nsanje,MW,-16.92,35.262,75.54,76,2,1.77,clear sky
68,Carutapera,BR,-1.195,-46.02,73.69,97,100,2.08,overcast clouds
69,Igbo Ora,NG,7.4333,3.2833,87.8,47,97,6.4,overcast clouds
70,Kahuta,PK,33.5913,73.3868,66.99,65,74,3.0,broken clouds
71,Vestmannaeyjar,IS,63.4427,-20.2734,26.6,50,20,19.57,few clouds
72,Chikwawa,MW,-16.0335,34.8009,76.03,76,0,2.75,clear sky
73,Ambovombe,MG,-25.1667,46.0833,74.03,87,9,4.88,light rain
74,Prado,BR,-17.3411,-39.2208,81.63,63,0,8.63,clear sky
75,Bara,NG,10.3744,10.7288,91.4,12,52,5.75,haze
76,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,20,23.02,few clouds
77,Lebu,CL,-37.6167,-73.65,59.85,65,0,18.97,clear sky
78,Jamestown,US,42.097,-79.2353,39.99,93,90,19.28,overcast clouds
79,Dzilam Gonzalez,MX,21.2833,-88.9333,96.64,30,10,8.37,clear sky
80,San Lawrenz,MT,36.0553,14.204,57.0,76,0,2.3,clear sky
81,Maltahohe,NA,-24.8333,16.9833,68.2,28,0,13.96,clear sky
82,San Juan Bautista,PE,-14.0108,-75.7358,77.0,61,0,24.16,clear sky
83,Albany,US,42.6001,-73.9662,75.2,38,75,18.41,broken clouds
84,Saint-Francois,FR,46.4154,3.9054,53.6,82,83,2.3,broken clouds
85,Wagar,SD,16.1525,36.2032,79.41,49,17,20.69,few clouds
86,Upernavik,GL,72.7868,-56.1549,-23.78,80,9,6.82,clear sky
87,Boa Vista,BR,2.8197,-60.6733,91.4,43,75,6.91,broken clouds
88,Busselton,AU,-33.65,115.3333,46.99,93,51,5.73,broken clouds
89,Les Escoumins,CA,48.1111,-69.0236,37.4,80,100,28.77,light rain
90,Lubsko,PL,51.7847,14.972,52.0,77,27,5.1,scattered clouds
91,Marawi,PH,7.9986,124.2928,73.99,90,91,4.0,overcast clouds
92,Derzhavinsk,KZ,51.1,66.3167,28.9,97,100,8.68,light snow
93,Dikson,RU,73.5069,80.5464,-8.82,100,100,10.71,overcast clouds
94,Pafos,CY,34.7667,32.4167,48.99,49,20,6.91,few clouds
95,Kayes,ML,14.0,-11.0,98.73,9,10,11.48,clear sky
96,Klaksvik,FO,62.2266,-6.589,39.2,45,20,20.71,few clouds
97,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.8,75,84,8.93,broken clouds
98,Salvador,SV,13.8333,-88.9167,89.6,55,20,8.05,few clouds
99,Guiratinga,BR,-16.3494,-53.7583,86.2,43,38,5.44,scattered clouds
100,Saint-Georges,GD,12.0564,-61.7485,84.2,65,20,21.85,few clouds
101,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,75,2.3,broken clouds
102,Punta Arenas,CL,-53.15,-70.9167,53.6,58,75,19.57,broken clouds
103,Goure,NE,13.9835,10.2704,79.0,12,100,10.0,overcast clouds
104,Isabela,PH,6.7085,121.9711,77.0,88,75,2.3,broken clouds
105,Nouakchott,MR,18.0858,-15.9785,73.4,68,0,24.16,clear sky
106,Hamilton,US,39.1834,-84.5333,57.99,67,90,9.22,overcast clouds
107,Najran,SA,17.4924,44.1277,78.8,19,0,6.91,clear sky
108,Luanda,AO,-8.8368,13.2343,78.8,78,75,2.3,broken clouds
109,Narsaq,GL,60.9167,-46.05,12.2,40,1,4.61,clear sky
110,Gat,IL,31.61,34.7642,55.0,100,100,11.88,overcast clouds
111,Picota,PE,-6.9197,-76.3304,91.4,55,40,8.05,scattered clouds
112,Tabou,CI,4.423,-7.3528,79.56,84,0,7.49,clear sky
113,Berlevag,NO,70.8578,29.0864,33.8,64,0,33.38,clear sky
114,Burgeo,CA,47.6167,-57.6152,37.13,98,100,3.42,overcast clouds
115,Kulashi,GE,42.2044,42.3494,44.6,81,90,8.05,overcast clouds
116,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,63,20,11.5,few clouds
117,Vodstroy,RU,48.8416,44.5579,33.8,80,0,6.71,clear sky
118,Manavalakurichi,IN,8.1333,77.3,84.2,70,20,4.36,mist
119,Calama,CL,-22.4667,-68.9333,77.0,10,0,21.85,clear sky
120,Margate,GB,51.3813,1.3862,44.01,82,100,1.99,overcast clouds
121,Pisco,PE,-13.7,-76.2167,77.0,61,0,24.16,clear sky
122,Letka,RU,59.6011,49.4232,25.61,98,89,4.52,overcast clouds
123,Santa Helena De Goias,BR,-17.8136,-50.5969,84.83,41,100,4.85,overcast clouds
124,The Valley,AI,18.217,-63.0578,82.4,69,40,18.41,scattered clouds
125,Kedrovyy,RU,56.1667,91.8167,28.4,80,40,11.18,light snow
126,Chyhyryn,UA,49.0838,32.6555,38.05,84,84,6.44,broken clouds
127,Los Llanos De Aridane,ES,28.6585,-17.9182,71.6,56,40,3.44,scattered clouds
128,Viedma,AR,-40.8135,-62.9967,70.0,25,7,12.59,clear sky
129,Masvingo,ZW,-20.0637,30.8277,66.0,80,32,4.47,scattered clouds
130,Cape Town,ZA,-33.9258,18.4232,66.99,82,20,12.66,few clouds
131,Chuy,UY,-33.6971,-53.4616,73.09,85,100,4.59,heavy intensity rain
132,Tete,MZ,-16.1564,33.5867,82.4,61,0,2.39,clear sky
133,Yar-Sale,RU,66.8333,70.8333,2.12,90,15,10.69,few clouds
134,Codrington,AU,-38.2667,141.9667,55.17,89,100,8.21,overcast clouds
135,Severnyy,RU,50.677,36.5532,39.2,70,0,4.47,clear sky
136,Puerto Del Rosario,ES,28.5004,-13.8627,71.6,56,0,16.11,clear sky
137,Maniitsoq,GL,65.4167,-52.9,1.24,77,100,23.51,overcast clouds
138,Sharjah,AE,25.3573,55.4033,86.0,29,0,3.44,clear sky
139,Sechura,PE,-5.5569,-80.8222,82.92,53,16,13.82,few clouds
140,Salalah,OM,17.0151,54.0924,78.8,29,0,4.61,clear sky
141,Ostrovnoy,RU,68.0531,39.5131,18.79,83,100,10.51,overcast clouds
142,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,74,0,14.97,clear sky
143,Japura,ID,-0.3167,102.35,73.81,98,91,1.77,overcast clouds
144,Moa,CU,20.6569,-74.9403,82.62,56,0,12.77,clear sky
145,Mikhaylovka,RU,50.06,43.2379,33.01,82,100,1.01,overcast clouds
146,Mitsamiouli,KM,-11.3847,43.2844,82.63,73,0,3.67,clear sky
147,Rawson,AR,-43.3002,-65.1023,66.45,45,0,10.58,clear sky
148,Hambantota,LK,6.1241,81.1185,78.8,100,75,9.22,light rain
149,Henties Bay,NA,-22.116,14.2845,64.0,91,0,3.0,clear sky
150,Camana,PE,-16.6228,-72.7111,73.26,74,98,8.59,overcast clouds
151,Tasiilaq,GL,65.6145,-37.6368,6.8,56,20,8.05,few clouds
152,Calarasi,MD,47.2544,28.3081,42.8,61,0,10.36,clear sky
153,Qaanaaq,GL,77.484,-69.3632,-7.85,61,100,6.89,overcast clouds
154,Bartica,GY,6.4,-58.6167,78.8,83,75,9.22,moderate rain
155,Rio Grande,BR,-32.035,-52.0986,77.0,88,75,4.61,broken clouds
156,Storforshei,NO,66.4043,14.5233,44.6,53,75,12.66,broken clouds
157,Namwala,ZM,-15.7504,26.4384,72.18,72,99,0.94,overcast clouds
158,Markivka,UA,49.5229,39.5705,38.89,82,100,5.91,overcast clouds
159,Yangambi,CD,0.8102,24.4336,66.92,99,99,2.06,overcast clouds
160,Sorokino,RU,53.75,84.9167,15.58,95,68,5.3,broken clouds
161,Georgetown,MY,5.4112,100.3354,79.0,94,40,1.01,scattered clouds
162,Oistins,BB,13.0667,-59.5333,82.4,54,40,23.02,scattered clouds
163,Pyshchug,RU,58.8873,45.7134,21.69,98,91,3.49,overcast clouds
164,Brae,GB,60.3964,-1.353,42.8,65,20,20.71,few clouds
165,East London,ZA,-33.0153,27.9116,69.8,88,0,9.22,clear sky
166,Cotonou,BJ,6.3654,2.4183,86.0,74,20,12.66,few clouds
167,Dogondoutchi,NE,13.6393,4.0287,87.78,13,30,11.74,scattered clouds
168,Mizdah,LY,31.4451,12.9801,56.44,36,0,8.95,clear sky
169,Tucuman,AR,-26.8241,-65.2226,66.2,94,90,9.22,light intensity drizzle
170,Monchegorsk,RU,67.9397,32.8739,18.41,95,25,7.05,scattered clouds
171,Sur,OM,22.5667,59.5289,79.43,54,100,7.49,overcast clouds
172,Methoni,GR,36.8197,21.7049,48.2,61,6,3.44,clear sky
173,Tsiroanomandidy,MG,-18.7667,46.0333,69.39,90,91,2.06,overcast clouds
174,Presidente Medici,BR,-11.1753,-61.9014,84.4,67,45,2.71,scattered clouds
175,Dalbandin,PK,28.8947,64.4101,78.57,10,0,3.8,clear sky
176,Souillac,MU,-20.5167,57.5167,77.0,94,75,3.44,broken clouds
177,Bethanien,NA,-26.502,17.1583,71.35,34,0,13.38,clear sky
178,Nouadhibou,MR,20.931,-17.0347,68.0,73,20,18.41,few clouds
179,Verkhoturye,RU,58.8627,60.8054,29.55,95,100,3.4,overcast clouds
180,Camacha,PT,33.0833,-16.3333,66.2,88,40,13.8,scattered clouds
181,Carbondale,US,37.7273,-89.2168,59.0,67,20,4.61,few clouds
182,Chapais,CA,49.7834,-74.8492,33.8,55,1,12.66,clear sky
183,Acarau,BR,-2.8856,-40.12,77.77,84,98,9.84,overcast clouds
184,Sao Filipe,CV,14.8961,-24.4956,71.74,73,13,18.77,few clouds
185,Mechelen,BE,51.0276,4.4807,55.0,58,0,11.5,clear sky
186,Gravdal,NO,68.1214,13.5031,46.4,46,0,14.97,clear sky
187,Melipilla,CL,-33.7,-71.2167,79.0,59,0,17.27,clear sky
188,Tocopilla,CL,-22.092,-70.1979,72.37,68,8,8.9,clear sky
189,Luderitz,NA,-26.6481,15.1594,63.84,80,0,9.33,clear sky
190,Mahebourg,MU,-20.4081,57.7,78.8,89,75,2.3,light rain
191,Pemba,MZ,-12.974,40.5178,82.4,78,20,6.91,few clouds
192,Ilhabela,BR,-23.7781,-45.3581,81.55,76,21,3.96,few clouds
193,Atlantic City,US,39.3643,-74.4229,82.4,34,1,19.57,clear sky
194,Altamira,BR,-3.2033,-52.2064,82.2,81,63,2.46,broken clouds
195,Cabedelo,BR,-6.9811,-34.8339,84.2,70,75,14.97,broken clouds
196,Altinopolis,BR,-21.0256,-47.3739,93.2,33,20,11.5,few clouds
197,Itaituba,BR,-4.2761,-55.9836,87.8,62,20,9.22,few clouds
198,Sochi,RU,43.6,39.7303,37.4,93,8,4.47,clear sky
199,Aberfeldy,GB,56.62,-3.8645,37.99,87,11,5.99,few clouds
200,Mehran,IR,33.1222,46.1646,48.2,43,0,2.3,clear sky
201,Orlovka,RU,44.6914,44.1744,39.92,78,98,11.52,overcast clouds
202,Karamursel,TR,40.6914,29.6157,44.6,65,75,5.75,broken clouds
203,Saint Anthony,US,45.0205,-93.218,43.0,60,1,3.44,clear sky
204,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,48,0,13.8,clear sky
205,Santa Fe,AR,-31.6333,-60.7,70.93,82,99,13.89,light rain
206,Harper,LR,4.375,-7.7169,79.56,84,0,6.96,clear sky
207,Asosa,ET,10.0667,34.5333,77.95,28,87,1.05,overcast clouds
208,Surt,LY,31.2089,16.5887,58.98,57,0,7.65,clear sky
209,Karaton,ID,-6.3424,106.1045,82.99,78,40,4.61,haze
210,Taltal,CL,-25.4,-70.4833,68.61,70,23,6.69,few clouds
211,Bilma,NE,18.6853,12.9164,71.44,13,0,10.31,clear sky
212,Harnosand,SE,62.6323,17.9379,39.0,87,100,5.75,overcast clouds
213,Carnarvon,AU,-24.8667,113.6333,75.2,73,100,13.8,overcast clouds
214,Saint-Augustin,CA,51.226,-58.6502,30.51,80,100,18.9,overcast clouds
215,Gabu,GW,12.2833,-14.2167,97.25,15,6,5.01,clear sky
216,Olinda,BR,-8.0089,-34.8553,80.6,65,40,13.8,scattered clouds
217,Riyadh,SA,24.6877,46.7219,87.8,11,0,10.36,clear sky
218,Marrakesh,MA,31.6315,-8.0083,77.0,20,40,5.75,scattered clouds
219,Lagos,NG,6.5833,3.75,84.2,74,20,5.75,few clouds
220,Ilinskiy,RU,55.619,38.1182,39.2,75,40,4.47,scattered clouds
221,Lagoa,PT,39.05,-27.9833,57.11,57,11,4.88,few clouds
222,Zelenogorskiy,RU,55.0333,87.0,24.8,80,0,11.18,clear sky
223,Richards Bay,ZA,-28.783,32.0377,67.87,94,38,4.45,light rain
