City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
24,Panaba,MX,96.15,clear sky,21.2833,-88.2667,Posada rosario
54,Vila Velha,BR,88.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
69,Igbo Ora,NG,87.8,overcast clouds,7.4333,3.2833,Pinkbell Inn
79,Dzilam Gonzalez,MX,96.64,clear sky,21.2833,-88.9333,posadas
87,Boa Vista,BR,91.4,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
98,Salvador,SV,89.6,few clouds,13.8333,-88.9167,Chico's Ranch
99,Guiratinga,BR,86.2,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
111,Picota,PE,91.4,scattered clouds,-6.9197,-76.3304,Hospedaje Vanessa
138,Sharjah,AE,86.0,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
166,Cotonou,BJ,86.0,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
167,Dogondoutchi,NE,87.78,scattered clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
196,Altinopolis,BR,93.2,few clouds,-21.0256,-47.3739,Hotel Vila das Palmeiras
197,Itaituba,BR,87.8,few clouds,-4.2761,-55.9836,Hotel Campos
204,Sao Joao Da Barra,BR,86.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
215,Gabu,GW,97.25,clear sky,12.2833,-14.2167,Hotel karsa
217,Riyadh,SA,87.8,clear sky,24.6877,46.7219,InterContinental Riyadh
225,Talara,PE,86.0,clear sky,-4.5772,-81.2719,Hostal Oro Negro
232,Alibag,IN,87.8,smoke,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
240,Tchaourou,BJ,86.41,light rain,8.8865,2.5975,SAFIR HOTEL
253,Iacu,BR,95.61,clear sky,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
256,Wajir,KE,89.46,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
270,Xapuri,BR,87.8,broken clouds,-10.6517,-68.5044,Pousada dos Chapurys
285,Cacule,BR,92.64,clear sky,-14.5033,-42.2222,Radar Palace Hotel
289,Mandera,KE,88.25,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
